source_facility_type,odhf_facility_type,latitude,longitude
retirement home,Nursing and residential care facilities,46.5149724,-84.32534525
retirement home,Nursing and residential care facilities,43.89217885,-78.94637257
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
general,Hospitals,53.3726572,-112.6510992
retirement home,Nursing and residential care facilities,44.23685681,-76.59274333
retirement home,Nursing and residential care facilities,43.81000591,-79.45672392
retirement home,Nursing and residential care facilities,43.20793238,-79.91323931
retirement home,Nursing and residential care facilities,45.39043205,-75.72455914
long-term care home,Nursing and residential care facilities,43.60150562,-80.56368125
retirement home,Nursing and residential care facilities,43.60068982,-80.56320535
retirement home,Nursing and residential care facilities,45.30730983,-75.9068857
retirement home,Nursing and residential care facilities,43.26028359,-79.97063634
retirement home,Nursing and residential care facilities,44.50987989,-80.23901844
long-term care home,Nursing and residential care facilities,43.80765981,-79.37379369
cancer,Hospitals,51.063131,-114.133258
retirement home,Nursing and residential care facilities,43.80779081,-79.37282579
retirement home,Nursing and residential care facilities,48.41801316,-89.25289087
retirement home,Nursing and residential care facilities,43.65263078,-79.47100711
retirement home,Nursing and residential care facilities,44.89855949,-75.18473483
retirement home,Nursing and residential care facilities,43.86504834,-79.02835469
retirement home,Nursing and residential care facilities,43.58275466,-79.7524751
retirement home,Nursing and residential care facilities,48.46195217,-89.25930628
retirement home,Nursing and residential care facilities,44.00838574,-79.45096614
retirement home,Nursing and residential care facilities,45.44081286,-75.64156412
retirement home,Nursing and residential care facilities,48.37697526,-89.25576126
other,Ambulatory health care services,,
retirement home,Nursing and residential care facilities,44.30857555,-78.3291506
retirement home,Nursing and residential care facilities,45.04370993,-79.31395439
retirement home,Nursing and residential care facilities,45.35276403,-75.92250971
retirement home,Nursing and residential care facilities,42.03955604,-82.72822769
retirement home,Nursing and residential care facilities,43.36642542,-79.73256877
long-term care home,Nursing and residential care facilities,45.14626646,-74.50391692
retirement home,Nursing and residential care facilities,43.7594321,-79.42349041
retirement home,Nursing and residential care facilities,42.03829014,-82.60343625
long-term care home,Nursing and residential care facilities,43.04406869,-81.26074922
retirement home,Nursing and residential care facilities,45.39947355,-75.68676793
other,Ambulatory health care services,,
retirement home,Nursing and residential care facilities,43.32692581,-79.79224629
retirement home,Nursing and residential care facilities,45.02570993,-74.71485918
retirement home,Nursing and residential care facilities,46.42492066,-81.14115202
retirement home,Nursing and residential care facilities,43.90432559,-80.13195805
retirement home,Nursing and residential care facilities,45.34061968,-79.22595369
retirement home,Nursing and residential care facilities,45.43982596,-75.67705673
long-term care home,Nursing and residential care facilities,43.2549638,-79.0657413
retirement home,Nursing and residential care facilities,42.24665886,-83.0347155
retirement home,Nursing and residential care facilities,42.28359,-82.989608
retirement home,Nursing and residential care facilities,43.48067364,-79.71759898
long term care,Nursing and residential care facilities,,
retirement home,Nursing and residential care facilities,43.1595939,-79.39574265
retirement home,Nursing and residential care facilities,43.14347373,-80.76340338
retirement home,Nursing and residential care facilities,43.99495144,-79.46604124
long-term care home,Nursing and residential care facilities,43.15701009,-81.68166257
retirement home,Nursing and residential care facilities,43.84066643,-79.0727951
retirement home,Nursing and residential care facilities,45.83207956,-77.14110175
retirement home,Nursing and residential care facilities,43.83806563,-79.0804323
long-term care home,Nursing and residential care facilities,43.797729,-79.58431476
retirement home,Nursing and residential care facilities,45.82365756,-77.08655613
long term care,Nursing and residential care facilities,,
retirement home,Nursing and residential care facilities,45.48171312,-76.69926487
retirement home,Nursing and residential care facilities,43.36033629,-80.31694255
retirement home,Nursing and residential care facilities,43.54916686,-79.59085414
long term care,Nursing and residential care facilities,,
general,Hospitals,53.7132007,-111.731815
retirement home,Nursing and residential care facilities,45.43062676,-75.67279853
retirement home,Nursing and residential care facilities,45.34839464,-75.82177497
retirement home,Nursing and residential care facilities,42.98395718,-81.26866552
retirement home,Nursing and residential care facilities,43.59758416,-79.63359016
retirement home,Nursing and residential care facilities,45.43758816,-75.68149693
retirement home,Nursing and residential care facilities,45.33668128,-79.19980138
retirement home,Nursing and residential care facilities,44.60350062,-75.66223536
retirement home,Nursing and residential care facilities,43.89121033,-79.26722977
retirement home,Nursing and residential care facilities,42.28011387,-83.0075218
long-term care home,Nursing and residential care facilities,42.0501946,-82.7375796
retirement home,Nursing and residential care facilities,43.50287752,-80.19348183
retirement home,Nursing and residential care facilities,42.95257037,-81.26148042
general,Hospitals,53.5206343,-113.524527
retirement home,Nursing and residential care facilities,43.68288858,-79.52073923
retirement home,Nursing and residential care facilities,46.45963938,-81.00297678
retirement home,Nursing and residential care facilities,42.32599578,-82.86564416
retirement home,Nursing and residential care facilities,45.32345073,-75.82748427
retirement home,Nursing and residential care facilities,45.29185263,-75.85586078
retirement home,Nursing and residential care facilities,43.4609376,-80.52157873
retirement home,Nursing and residential care facilities,48.46526737,-89.20749116
retirement home,Nursing and residential care facilities,44.7428346,-79.8554069
retirement home,Nursing and residential care facilities,43.18565986,-80.27885003
long-term care home,Nursing and residential care facilities,43.73848531,-79.23864245
general,Hospitals,51.351289,-110.479297
general,Hospitals,55.066647,-117.273404
retirement home,Nursing and residential care facilities,43.85950242,-79.48212453
retirement home,Nursing and residential care facilities,44.88141425,-76.0128102
long-term care home,Nursing and residential care facilities,43.42715623,-79.76303438
retirement home,Nursing and residential care facilities,43.42740353,-79.76329719
retirement home,Nursing and residential care facilities,44.59067871,-75.68220626
retirement home,Nursing and residential care facilities,43.51693402,-80.24516065
long-term care home,Nursing and residential care facilities,43.52485635,-79.65178876
long-term care home,Nursing and residential care facilities,43.64832328,-79.56767874
long-term care home,Nursing and residential care facilities,43.40613299,-80.51775782
retirement home,Nursing and residential care facilities,46.50942279,-80.94676907
long term care,Nursing and residential care facilities,,
retirement home,Nursing and residential care facilities,44.3914871,-79.71751146
long-term care home,Nursing and residential care facilities,43.63717128,-79.4392265
retirement home,Nursing and residential care facilities,44.88178075,-76.0181318
long-term care home,Nursing and residential care facilities,43.23324649,-79.93527582
long-term care home,Nursing and residential care facilities,43.88586653,-79.23093356
long-term care home,Nursing and residential care facilities,43.94673256,-78.87267965
retirement home,Nursing and residential care facilities,43.94642766,-78.87369675
retirement home,Nursing and residential care facilities,45.31112498,-74.63167517
long-term care home,Nursing and residential care facilities,42.30747117,-83.07313582
long term care,Nursing and residential care facilities,,
retirement home,Nursing and residential care facilities,42.39499053,-82.21070246
mental health and addiction organization,Ambulatory health care services,42.30600867,-83.005524
family health team - contract,Ambulatory health care services,42.40658323,-82.19086776
general,Hospitals,42.405071,-82.193665
general,Hospitals,42.598468,-82.366871
general,Hospitals,53.3547731,-110.8730789
public health unit office,Ambulatory health care services,42.4038131,-82.2085925
long-term care home,Nursing and residential care facilities,42.98760838,-81.27670392
retirement home,Nursing and residential care facilities,42.98779818,-81.27690042
long-term care home,Nursing and residential care facilities,43.7818402,-79.44446061
community support service,Nursing and residential care facilities,44.15840816,-77.37946428
community support service,Nursing and residential care facilities,43.69888777,-79.78024741
community support service,Nursing and residential care facilities,43.57605736,-79.70511818
community support service,Nursing and residential care facilities,42.99846998,-81.2152564
long-term care home,Nursing and residential care facilities,43.6936488,-79.27484865
retirement home,Nursing and residential care facilities,42.30451789,-82.54951356
general,Hospitals,53.0996627,-111.7764446
community support service,Ambulatory health care services,43.65697389,-79.36050608
psychiatric,Hospitals,42.9673109,-81.3337064
mental health and addiction organization,Ambulatory health care services,48.42375406,-89.23147636
hospital - corporation,Hospitals,45.4007668,-75.652152
mental health and addiction organization,Ambulatory health care services,45.35305824,-75.78762576
mental health and addiction organization,Ambulatory health care services,43.80799722,-79.28979207
community support service,Ambulatory health care services,42.604781,-81.60574
community support service,Ambulatory health care services,43.17887838,-81.99593417
community support service,Ambulatory health care services,44.90715112,-81.02254923
community support service,Ambulatory health care services,44.64654896,-79.35164566
other,Ambulatory health care services,,
community support service,Ambulatory health care services,44.51468384,-81.34409219
community support service,Ambulatory health care services,42.82015534,-81.44030796
community support service,Ambulatory health care services,43.77882471,-79.42092451
mental health and addiction organization,Ambulatory health care services,43.74248749,-81.70993313
retirement home,Nursing and residential care facilities,44.15403169,-81.02729035
retirement home,Nursing and residential care facilities,43.67304599,-79.4223122
retirement home,Nursing and residential care facilities,43.62283575,-80.04369409
retirement home,Nursing and residential care facilities,43.44942594,-79.66593136
community support service,Ambulatory health care services,43.67192409,-79.37797418
community support service,Ambulatory health care services,43.7481786,-79.407177
general,Hospitals,50.3961012,-113.2588
retirement home,Nursing and residential care facilities,45.44484246,-75.63376962
community support service,Ambulatory health care services,43.25702279,-79.87796231
mental health and addiction organization,Ambulatory health care services,43.25355619,-79.8686684
family health team - contract,Ambulatory health care services,44.35532244,-78.75488564
family health team - contract,Ambulatory health care services,46.51756439,-80.98200638
community support service,Ambulatory health care services,43.542555,-79.684402
community support service,Ambulatory health care services,45.34567414,-75.76391455
,Ambulatory health care services,55.9429643,-113.8018573
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
community support service,Ambulatory health care services,43.64609738,-79.38896939
community support service,Ambulatory health care services,43.64609738,-79.38896939
general,Hospitals,52.840949,-110.865862
retirement home,Nursing and residential care facilities,45.34284694,-75.75549625
retirement home,Nursing and residential care facilities,43.4629158,-80.58129925
other,Ambulatory health care services,,
family health team - contract,Ambulatory health care services,45.54450839,-75.30124672
community support service,Ambulatory health care services,43.703519,-79.35245538
long-term care home,Nursing and residential care facilities,43.22037979,-79.72817146
family health team - contract,Ambulatory health care services,43.62158548,-81.54194706
community support service,Ambulatory health care services,43.66542478,-79.59519885
community support service,Ambulatory health care services,43.53895392,-80.25186875
community support service,Ambulatory health care services,44.05729695,-79.42756963
community support service,Ambulatory health care services,43.7179585,-79.37770879
general,Hospitals,54.14653,-113.853259
community support service,Ambulatory health care services,46.47508828,-81.00634068
community support service,Ambulatory health care services,48.43712077,-89.21925496
community support service,Ambulatory health care services,48.47744267,-81.32947753
community support service,Ambulatory health care services,44.3813294,-79.70462585
retirement home,Nursing and residential care facilities,43.4909305,-80.48076562
retirement home,Nursing and residential care facilities,43.1255125,-79.19884428
retirement home,Nursing and residential care facilities,43.96202309,-78.16625532
family health team - contract,Ambulatory health care services,49.06972337,-81.0205325
psychiatric,Ambulatory health care services,48.488455,-81.317921
long term care,Nursing and residential care facilities,,
long-term care home,Nursing and residential care facilities,44.4011191,-79.71536396
general,Hospitals,44.499502,-80.203407
long-term care home,Nursing and residential care facilities,44.48264419,-80.22895893
retirement home,Nursing and residential care facilities,45.39488455,-75.68678253
long-term care home,Nursing and residential care facilities,43.4649426,-80.59136415
community support service,Ambulatory health care services,44.60729181,-75.69309047
mental health and addiction organization,Ambulatory health care services,42.8343442,-80.31537241
mental health and addiction organization,Ambulatory health care services,43.159034,-79.2453008
general,Hospitals,53.537465,-113.977133
community health centre,Ambulatory health care services,44.35293494,-78.73833674
community support service,Ambulatory health care services,43.55382081,-80.55436845
mental health and addiction organization,Nursing and residential care facilities,43.87165105,-78.91437355
community support service,Ambulatory health care services,44.50625122,-77.47498334
community support service,Ambulatory health care services,44.16962,-77.353655
community support service,Ambulatory health care services,45.0472037,-78.5085521
community support service,Ambulatory health care services,44.30685175,-78.3061161
community support service,Ambulatory health care services,50.10598388,-91.92799068
mental health and addiction organization,Ambulatory health care services,46.30725453,-79.46013696
community support service,Ambulatory health care services,44.57429817,-80.94626397
community support service,Ambulatory health care services,43.37196946,-80.96039426
community support service,Ambulatory health care services,44.3835427,-79.71089355
community support service,Ambulatory health care services,43.98811134,-79.46177824
community support service,Ambulatory health care services,44.90587334,-76.26567728
community support service,Ambulatory health care services,43.24835429,-79.8712476
community support service,Ambulatory health care services,43.53781712,-80.25944745
general,Hospitals,52.986764,-113.367947
community support service,Ambulatory health care services,42.29329099,-82.706011
community support service,Ambulatory health care services,43.48506151,-80.4156287
community support service,Ambulatory health care services,43.1448129,-79.2697296
retirement home,Nursing and residential care facilities,43.43042349,-80.49063072
general,Hospitals,54.131598,-115.674435
family health team - contract,Ambulatory health care services,45.45294156,-75.5878435
retirement home,Nursing and residential care facilities,43.60446857,-79.59239015
mental health and addiction organization,Ambulatory health care services,43.16570951,-79.23331029
community support service,Ambulatory health care services,43.25335049,-79.8459646
long-term care home,Nursing and residential care facilities,43.57334286,-79.60968605
long-term care home,Nursing and residential care facilities,43.64020808,-79.447311
long-term care home,Nursing and residential care facilities,42.39831463,-82.20038906
mental health and addiction organization,Ambulatory health care services,45.29800098,-74.62656227
general,Hospitals,45.029921,-74.718312
community support service,Ambulatory health care services,43.36018659,-80.31241555
community support service,Ambulatory health care services,43.54331113,-80.24842765
community support service,Ambulatory health care services,43.4524915,-80.48968472
community support service,Ambulatory health care services,42.94410837,-81.2242039
community support service,Ambulatory health care services,42.80412155,-81.15985057
community support service,Ambulatory health care services,48.38205716,-89.24603366
other,Ambulatory health care services,,
community support service,Ambulatory health care services,43.4633725,-80.52036303
community support service,Ambulatory health care services,42.16099956,-82.82474203
community support service,Ambulatory health care services,43.37149536,-80.98497737
community support service,Ambulatory health care services,43.63825356,-79.93112266
community support service,Ambulatory health care services,43.25156843,-81.1333145
community support service,Ambulatory health care services,48.80763085,-87.2661107
community support service,Ambulatory health care services,46.28610668,-84.03357593
general,Hospitals,43.7833018,-79.578003
mental health and addiction organization,Ambulatory health care services,43.67885409,-79.44368851
mental health and addiction organization,Nursing and residential care facilities,43.66516559,-79.37364258
long term care,Nursing and residential care facilities,,
community support service,Ambulatory health care services,43.65746389,-79.35716348
family health team - contract,Ambulatory health care services,45.04606513,-79.31547339
family health team - contract,Ambulatory health care services,44.60087235,-79.42736958
community support service,Ambulatory health care services,48.63423629,-93.35993155
community support service,Ambulatory health care services,42.98258488,-81.26139442
mental health and addiction organization,Ambulatory health care services,46.18248063,-82.93519797
retirement home,Nursing and residential care facilities,44.37744874,-78.76719105
retirement home,Nursing and residential care facilities,45.71888166,-76.85439195
retirement home,Nursing and residential care facilities,43.98184135,-79.22502166
long-term care home,Nursing and residential care facilities,44.4657069,-80.9030782
long term care,Nursing and residential care facilities,,
retirement home,Nursing and residential care facilities,43.16243938,-81.85244972
retirement home,Nursing and residential care facilities,43.52179349,-80.91997886
retirement home,Nursing and residential care facilities,45.31887878,-79.24437549
community health centre,Ambulatory health care services,44.69431581,-76.19447194
long-term care home,Nursing and residential care facilities,42.95867137,-81.43757387
retirement home,Nursing and residential care facilities,44.59712177,-76.68879979
retirement home,Nursing and residential care facilities,45.34114702,-76.28200362
long-term care home,Nursing and residential care facilities,42.1724111,-82.7212974
retirement home,Nursing and residential care facilities,43.6997553,-80.872622
,Hospitals,54.26373,-110.7393
long term care,Nursing and residential care facilities,,
other,Ambulatory health care services,,
community support service,Ambulatory health care services,45.7995814,-77.1188035
general,Hospitals,51.6376711,-121.2930534
long-term care home,Nursing and residential care facilities,43.14535469,-81.53006982
long-term care home,Nursing and residential care facilities,43.706865,-79.25329325
community support service,Ambulatory health care services,43.14535469,-81.53006982
retirement home,Nursing and residential care facilities,43.58094516,-79.71729218
family health team - contract,Ambulatory health care services,43.55907115,-79.70554618
general,Hospitals,43.5593496,-79.7032464
long-term care home,Nursing and residential care facilities,44.32664057,-80.09982767
long-term care home,Nursing and residential care facilities,43.39302822,-79.77985319
,Nursing and residential care facilities,55.7455893,-120.2501096
retirement home,Nursing and residential care facilities,43.72163358,-79.7364305
long-term care home,Nursing and residential care facilities,42.91044887,-78.92320857
mental health and addiction organization,Nursing and residential care facilities,43.1547019,-81.39943458
mental health and addiction organization,Ambulatory health care services,43.66546488,-79.48166312
mental health and addiction organization,Nursing and residential care facilities,48.42902176,-89.24535107
other,Ambulatory health care services,,
family health team - contract,Ambulatory health care services,43.68896429,-79.49550922
long-term care home,Nursing and residential care facilities,44.10639945,-77.56149694
,Nursing and residential care facilities,49.0241528,-123.0812712
children's treatment centre,Ambulatory health care services,49.41487164,-82.41931451
retirement home,Nursing and residential care facilities,45.51561708,-75.40637035
long-term care home,Nursing and residential care facilities,43.78816171,-79.4075617
community support service,Ambulatory health care services,44.46244057,-78.37487623
community support service,Ambulatory health care services,42.99846998,-81.2152564
mental health and addiction organization,Nursing and residential care facilities,45.27423822,-75.96233511
retirement home,Nursing and residential care facilities,43.67423139,-79.38791859
children's treatment centre,Ambulatory health care services,43.67068498,-79.45483721
retirement home,Nursing and residential care facilities,42.923935,-80.765673
,Nursing and residential care facilities,49.3209903,-123.0404142
mental health and addiction organization,Ambulatory health care services,43.13997205,-80.26754162
community support service,Ambulatory health care services,43.24835649,-79.84311419
community support service,Ambulatory health care services,44.3813294,-79.70462585
long-term care home,Nursing and residential care facilities,42.94410837,-81.2242039
general,Hospitals,46.0908667,-77.4750037
long-term care home,Nursing and residential care facilities,43.1895365,-79.54142639
long-term care home,Nursing and residential care facilities,43.73160489,-79.61744587
community support service,Ambulatory health care services,42.56381627,-81.87570007
,Nursing and residential care facilities,49.2244182,-122.6062374
family health team - contract,Ambulatory health care services,42.85626649,-80.49705007
long-term care home,Nursing and residential care facilities,42.8420406,-80.4905752
retirement home,Nursing and residential care facilities,43.89114592,-79.43936142
retirement home,Nursing and residential care facilities,43.44530143,-79.73083328
retirement home,Nursing and residential care facilities,43.77540511,-79.4141526
retirement home,Nursing and residential care facilities,43.66125518,-79.51006583
retirement home,Nursing and residential care facilities,43.7246323,-79.32618287
retirement home,Nursing and residential care facilities,42.84253499,-80.49026886
community support service,Ambulatory health care services,42.8513806,-80.30845961
community support service,Ambulatory health care services,45.40374035,-75.63671562
,Ambulatory health care services,49.051786,-122.315463
long-term care home,Nursing and residential care facilities,43.54089651,-80.54914374
retirement home,Nursing and residential care facilities,42.31615767,-83.05106551
family health team - contract,Ambulatory health care services,48.35423355,-89.26127296
community support service,Ambulatory health care services,43.62129377,-79.60303445
community support service,Ambulatory health care services,43.65624799,-79.35890658
community support service,Ambulatory health care services,46.129579,-80.032406
retirement home,Nursing and residential care facilities,42.31336527,-83.0216454
long-term care home,Nursing and residential care facilities,43.62949697,-79.56513824
,Nursing and residential care facilities,49.2259116,-122.6427073
mental health and addiction organization,Nursing and residential care facilities,43.13282023,-80.73030776
family health team - contract,Ambulatory health care services,43.7286232,-79.34204848
hospital - corporation,Hospitals,43.7236162,-79.33617748
retirement home,Nursing and residential care facilities,43.734248,-79.34066228
retirement home,Nursing and residential care facilities,43.39183449,-80.4390437
retirement home,Nursing and residential care facilities,42.98070929,-81.05340845
community support service,Nursing and residential care facilities,43.60806727,-79.55990744
family health team - contract,Ambulatory health care services,43.44193983,-79.69414926
retirement home,Nursing and residential care facilities,44.09139007,-79.13045064
,Nursing and residential care facilities,49.038953,-122.852582
long-term care home,Nursing and residential care facilities,42.97774267,-79.24618498
long-term care home,Nursing and residential care facilities,42.78788949,-80.20786437
retirement home,Nursing and residential care facilities,43.63691448,-79.4389914
long-term care home,Nursing and residential care facilities,43.7511842,-79.48559573
community support service,Nursing and residential care facilities,43.20834778,-79.8768475
retirement home,Nursing and residential care facilities,44.26304971,-79.06649504
community support service,Ambulatory health care services,49.784441,-92.840194
general,Hospitals,49.76956,-92.838641
family health team - contract,Ambulatory health care services,43.9212788,-80.09932514
general,Hospitals,54.2637533,-110.7414916
,Nursing and residential care facilities,55.759787,-120.242
community support service,Ambulatory health care services,44.07608582,-80.19971428
long-term care home,Nursing and residential care facilities,44.07675832,-80.20035498
mental health and addiction organization,Nursing and residential care facilities,43.53418102,-80.23594704
community support service,Ambulatory health care services,43.26586919,-79.95406853
community support service,Ambulatory health care services,44.9726845,-75.24174085
long-term care home,Nursing and residential care facilities,45.08860351,-75.3555682
retirement home,Nursing and residential care facilities,43.26507159,-79.95304373
long-term care home,Nursing and residential care facilities,43.25642639,-79.8639432
,Nursing and residential care facilities,50.273778,-119.255517
community health centre,Ambulatory health care services,43.86928605,-78.84479043
community support service,Ambulatory health care services,43.88801015,-78.91036165
mental health and addiction organization,Ambulatory health care services,43.88199115,-78.91455045
public health unit office,Ambulatory health care services,43.89862715,-78.94031826
long-term care home,Nursing and residential care facilities,44.19803357,-77.39029009
long-term care home,Nursing and residential care facilities,44.04894845,-79.46340434
family health team - contract,Ambulatory health care services,50.63824344,-93.23724339
long-term care home,Nursing and residential care facilities,43.02686099,-81.21868721
children's treatment centre,Ambulatory health care services,43.66630519,-79.31630836
,Nursing and residential care facilities,50.025908,-125.27372
family health team - contract,Ambulatory health care services,43.76296761,-79.29523607
community support service,Ambulatory health care services,43.76862927,-80.06141961
family health team - contract,Ambulatory health care services,43.78179447,-80.07795862
mental health and addiction organization,Ambulatory health care services,43.68158869,-79.33065757
public health unit office,Ambulatory health care services,45.02917463,-74.73640869
family health team - contract,Ambulatory health care services,45.48022467,-75.50899988
community support service,Ambulatory health care services,45.4726308,-75.4956947
long-term care home,Nursing and residential care facilities,46.0786957,-79.3588835
,Nursing and residential care facilities,50.026306,-125.27363
community support service,Ambulatory health care services,43.67506329,-79.33978307
long-term care home,Nursing and residential care facilities,43.64760318,-79.56046144
mental health and addiction organization,Nursing and residential care facilities,43.65637419,-79.39509179
long-term care home,Nursing and residential care facilities,43.58078794,-80.16785633
retirement home,Nursing and residential care facilities,44.16443676,-77.38830509
retirement home,Nursing and residential care facilities,42.41149633,-82.17726115
long-term care home,Nursing and residential care facilities,42.90614674,-79.625957
,Nursing and residential care facilities,49.1658526,-122.6236643
community support service,Ambulatory health care services,45.53196021,-77.09591361
long-term care home,Nursing and residential care facilities,43.77551412,-79.18320493
retirement home,Nursing and residential care facilities,43.98629914,-77.23025702
retirement home,Nursing and residential care facilities,44.31058562,-81.09967099
long-term care home,Nursing and residential care facilities,42.76901044,-81.23754879
long-term care home,Nursing and residential care facilities,43.90172983,-79.44169122
retirement home,Nursing and residential care facilities,43.64126548,-79.53888573
long-term care home,Nursing and residential care facilities,46.6119611,-81.02674901
,Nursing and residential care facilities,49.2346071,-122.5944504
family health team - contract,Ambulatory health care services,46.38582667,-82.64942541
long-term care home,Nursing and residential care facilities,43.64031588,-79.4307008
long-term care home,Nursing and residential care facilities,42.96948268,-81.26521352
retirement home,Nursing and residential care facilities,45.38364335,-75.73827195
retirement home,Nursing and residential care facilities,43.0900705,-79.09116624
nurse practitioner led clinic,Ambulatory health care services,43.69098659,-79.47236762
general,Hospitals,48.631491,-93.842073
mental health and addiction organization,Nursing and residential care facilities,45.40108045,-75.67543973
retirement home,Nursing and residential care facilities,43.96081849,-78.27960676
,Nursing and residential care facilities,50.7177569,-119.2529612
retirement home,Nursing and residential care facilities,46.31255503,-79.46375766
retirement home,Nursing and residential care facilities,44.30332275,-78.3192937
mental health and addiction organization,Ambulatory health care services,44.61868065,-79.42805209
family health team - contract,Ambulatory health care services,47.82268675,-79.87926567
general,Hospitals,47.823199,-79.879574
family health team - contract,Ambulatory health care services,45.44476036,-75.63723032
community support service,Ambulatory health care services,42.38576803,-82.20489826
local health integration network office,Ambulatory health care services,42.39253523,-82.20998046
,Nursing and residential care facilities,49.2759644,-117.6461235
long-term care home,Nursing and residential care facilities,43.53474615,-79.66736096
retirement home,Nursing and residential care facilities,44.55940799,-80.45518861
family health team - contract,Ambulatory health care services,46.2500864,-81.78323771
general,Hospitals,46.248452,-81.780832
community support service,Ambulatory health care services,42.17463046,-82.82524143
community support service,Ambulatory health care services,42.17301396,-82.82365463
,Nursing and residential care facilities,50.708592,-119.2511272
retirement home,Nursing and residential care facilities,43.69601307,-79.79769042
family health team - contract,Ambulatory health care services,43.64655638,-79.56056694
community support service,Ambulatory health care services,43.69710409,-79.52690243
retirement home,Nursing and residential care facilities,43.62017967,-79.50327902
retirement home,Nursing and residential care facilities,43.59259706,-79.67056277
long-term care home,Nursing and residential care facilities,43.34653763,-81.47441712
long-term care home,Nursing and residential care facilities,43.79341251,-79.3906724
long-term care home,Nursing and residential care facilities,43.65536347,-79.7356338
long-term care home,Nursing and residential care facilities,43.9837753,-78.17209322
,Nursing and residential care facilities,49.2551157,-123.0327623
long-term care home,Nursing and residential care facilities,46.50713379,-80.93753367
long-term care home,Nursing and residential care facilities,43.74686311,-79.20313123
long-term care home,Nursing and residential care facilities,45.051712,-78.502471
long-term care home,Nursing and residential care facilities,43.64922616,-79.94812796
long-term care home,Nursing and residential care facilities,43.23730029,-79.92136612
long-term care home,Nursing and residential care facilities,49.41769224,-82.41017831
long-term care home,Nursing and residential care facilities,44.36383334,-78.72369584
long-term care home,Nursing and residential care facilities,44.23934601,-76.53531092
long-term care home,Nursing and residential care facilities,48.15597609,-80.02268375
long-term care home,Nursing and residential care facilities,44.42419477,-78.2815351
,Nursing and residential care facilities,50.2664676,-119.2434272
long-term care home,Nursing and residential care facilities,45.44640676,-75.61084101
long-term care home,Nursing and residential care facilities,43.00042548,-81.24860602
long-term care home,Nursing and residential care facilities,46.5350635,-84.30335325
long-term care home,Nursing and residential care facilities,45.35435184,-75.75821985
long-term care home,Nursing and residential care facilities,43.63238897,-79.72791359
long-term care home,Nursing and residential care facilities,45.37526254,-75.77907516
long-term care home,Nursing and residential care facilities,43.89733765,-78.87514724
long-term care home,Nursing and residential care facilities,44.29856245,-78.34564511
long-term care home,Nursing and residential care facilities,43.96724219,-78.28414406
long-term care home,Nursing and residential care facilities,42.67066023,-81.20881357
,Nursing and residential care facilities,49.2364595,-123.0949445
long-term care home,Nursing and residential care facilities,43.80332132,-79.18867764
long-term care home,Nursing and residential care facilities,43.76375641,-79.21012454
long-term care home,Nursing and residential care facilities,42.24130106,-82.97743668
long-term care home,Nursing and residential care facilities,43.1300249,-79.2583408
long-term care home,Nursing and residential care facilities,45.35366004,-75.75058715
long-term care home,Nursing and residential care facilities,42.28214117,-82.88283156
long-term care home,Nursing and residential care facilities,48.47746467,-81.37922804
long-term care home,Nursing and residential care facilities,47.4407208,-79.63014404
long-term care home,Nursing and residential care facilities,46.5295084,-84.32443156
long-term care home,Nursing and residential care facilities,45.35438354,-75.77592346
,Nursing and residential care facilities,49.2279307,-123.070041
long-term care home,Nursing and residential care facilities,46.47514368,-81.00771419
long-term care home,Nursing and residential care facilities,46.5521221,-84.3119845
retirement home,Nursing and residential care facilities,45.30090253,-75.88533859
long-term care home,Nursing and residential care facilities,42.59425785,-82.41318124
retirement home,Nursing and residential care facilities,43.59791447,-79.52347352
long-term care home,Nursing and residential care facilities,44.32761635,-78.3181676
long-term care home,Nursing and residential care facilities,44.31346333,-76.4650418
,Nursing and residential care facilities,49.5156951,-115.7487471
long-term care home,Nursing and residential care facilities,45.32656618,-79.21252868
long-term care home,Nursing and residential care facilities,43.87912064,-78.95110927
community support service,Nursing and residential care facilities,43.89862715,-78.94031826
long-term care home,Nursing and residential care facilities,45.2287855,-76.18998128
long-term care home,Nursing and residential care facilities,43.3985564,-80.34314607
long-term care home,Nursing and residential care facilities,43.64812078,-79.4285026
retirement home,Nursing and residential care facilities,43.3987288,-80.34534257
long-term care home,Nursing and residential care facilities,43.65401717,-79.7413989
,Nursing and residential care facilities,49.107193,-122.415845
community support service,Nursing and residential care facilities,43.89998245,-78.86653234
mental health and addiction organization,Ambulatory health care services,43.65860057,-79.72630969
mental health and addiction organization,Ambulatory health care services,43.54428713,-80.24364695
community support service,Ambulatory health care services,42.97647492,-82.34127865
community support service,Ambulatory health care services,44.31021695,-78.3203794
family health team - contract,Ambulatory health care services,45.45712527,-75.49522137
community support service,Ambulatory health care services,42.40436573,-82.17965245
mental health and addiction organization,Ambulatory health care services,42.98807948,-81.26880582
senior active living centre,Nursing and residential care facilities,43.66039509,-79.37858618
community support service,Ambulatory health care services,43.36884386,-80.98016086
,Nursing and residential care facilities,49.110777,-122.747127
community support service,Ambulatory health care services,42.30016487,-83.0098548
mental health and addiction organization,Ambulatory health care services,45.40313215,-75.73068205
mental health and addiction organization,Nursing and residential care facilities,43.9273918,-80.10041594
long-term care home,Nursing and residential care facilities,44.52846487,-78.73121905
